fairness,satisfaction,redist1,redist2,redist3,redist3R,redist4,redist4R,Sup4R,Household_Income,age,gender,Population_Inequality_Gini_Index,Population_Mean_Income,Social_Circle_Inequality_Gini_Index,Social_Circle_Mean_Income
1,1,6,6,3,4,1,6,5.5, ,40,2,38.78293791,29715,28.05673759,21150
5,2,2,3,2,5,4,3,3.25,20,59,2,37.21451104,123630,24.32338765,65355
5,5,5,5,4,3,5,2,3.75,100,41,2,20.75,60000,14.44257703,107100
7,7,1,3,3,4,4,3,2.75,150,59,2,35.37958049,59355,26.92590028,86640
4,5,4,4,5,2,5,2,3,500,35,1,16.875,15360,21.40105541,56850
1,4,6,6,5,2,6,1,3.75,600,34,2,40.92447917,57600,37.08824267,59835
3,3,5,5,2,5,5,2,4.25,600,36,2,35.72710385,80745,23.66943562,61395
5,4,3,4,3,4,4,3,3.5,600,39,2,36.57026976,79515,7.142857143,52500
5,3,5,5,4,3,5,2,3.75,600,40,2,44.77811207,39885,49.38912134,35850
4,5,4,5,4,3,5,2,3.5,680,31,1,31.72378517,58650,30.91160758,61770
5,4,4,4,1,6,2,5,4.75,1000,53, ,51.48527529,46860,35.40347072,103725
4,5,3,3,4,3,4,3,3,1000,19,1,14.26293559,14205,21.76679842,18975
1,1,5,6,3,4,1,6,5.25,1100,27,1,32.33503315,29415,26.44804089,17610
3,3,6,5,2,5,2,5,5.25,1200,49,2,47.70785071,58275,29.5,22800
2,3,4,3,1,6,4,3,4,1400,64,2,26.77804938,61365,25.54439167,82110
3,1,4,4,3,4,5,2,3.5,1600,47,1,42.26188881,44790,46.82793017,60150
5,5,4,5,4,3,5,2,3.5,2000,34,2,25.4652456,32370,33.27142857,52500
5,5,3,3,4,3,4,3,3,3800,28,2,18.11182109,46950,30.20391517,45975
2,2,5,6,1,6,4,3,5,4000,26,2,34.70986812,65970,33.12972572,40470
3,3,4,6,4,3,5,2,3.75,4000,34,2,19.44776119,40200,20.53793103,43500
9,9,1,2,3,4,5,2,2.25,4200,24,2,20.69215332,74745,38.65886288,44850
5,4,4,4,3,4,3,4,4,5000,30,1,36.20041394,43485,30.82910547,44940
5,7,3,2,4,3,5,2,2.5,5000,36,2,33.01589825,47175,33.03237858,60225
3,3,4,5,1,6,1,6,5.25,5299.99,56,2,19.39987974,49890,12.3125,48000
3,3,3,6,2,5,3,4,4.5,5583,33,1,34.14407436,77460,17.79221927,84825
1,1,6,5,1,6,4,3,5,6000,57,1,51.51305862,51690,40.59646119,52560
1,1,1,1,2,5,6,1,2,6000,31,2,33.49452954,75405,36.75957572,101820
5,5,1,2,2,5,4,3,2.75,6000,44,2,27.18515394,71130,23.34102109,76095
2,1,2,5,2,5,2,5,4.25,6000,59,2,35.12381646,61785,30.78385773,32895
1,1,5,6,1,6,6,1,4.5,7500,42,1,35.82933709,53175,32.40697674,25800
5,7,2,2,3,4,4,3,2.75,9000,53,2,48.20971867,58650,18.56006082,29595
1,3,3,4,3,4,3,4,3.75,9000,27,2,42.95636792,25440,27.66887417,18120
3,2,5,5,2,5,3,4,4.75,9200,42,1,36.35112806,47205,25.11879896,22980
1,1,4,4,2,5,2,5,4.5,10000,30,1,37.10742496,56970,43.70731707,30750
3,3,3,4,3,4,4,3,3.5,10100,24,1,42.5015873,47250,27.75908707,17745
1,1,6,6,2,5,1,6,5.75,10500,55,1,42.40600904,56415,16.70068027,22050
3,3,5,5,2,5,2,5,5,12000,25,1,46.82696759,51840,37.59189665,25545
5,5,1,4,3,4,5,2,2.75,12000,64,2,43.71544715,40590,43.12371134,36375
1,1,2,2,2,5,3,4,3.25,12000,41,1,45.40296925,42435,39.01748113,37755
1,1,5,6,1,6,3,4,5.25,12000,43,1,37.57060519,52050,26.23028391,57060
5,5,1,1,3,4,6,1,1.75,15000,28,2,38.78368402,40635,19.91489362,21150
3,3,6,4,3,4,3,4,4.5,15000,50,2,47.22613683,36615,21.84230056,40425
1,1,4,6,2,5,5,2,4.25,15000,27,2,41.98696845,43740,25.84507042,21300
1,1,5,6,1,6,1,6,5.75,15000,30,2,42.4929972,53550,26.44481605,22425
3,5,2,3,5,2,4,3,2.5,16000,62,1,31.594172,63315,42.87051207,50970
1,1,1,4,1,6,2,5,4,16000,29,1,36.49196141,46650,13.91489362,14100
1,1,6,6,1,6,1,6,6,16000,47,1,38.83655816,65895,55.86554622,53550
1,1,6,6,1,6,1,6,6,17000,33,1,57.4549943,39495,61.35714286,52500
1,1,3,4,3,4,3,4,3.75,18000,41,1,32.9181532,71475,31.18367347,29400
3,3,3,4,3,4,4,3,3.5,18000,25,2,38.02313625,52515,33.76890756,35700
1,1,6,5,1,6,1,6,5.75,18000,64,2,34.80740741,60750,22.03955842,16305
5,5,1,2,4,3,5,2,2,18000,46,1,36.88956715,54060,41.38418079,66375
