ResponseId,moves_elem,far_elem,time_elem,moves_mid,far_mid,time_mid,moves_high,far_high,time_high,moves_adult,far_adult,time_adult,total_moves,coffee,dinner,pizza,books,ice cream,office,cookie,hardware,pharmacy,total_chain,age,gender,race,race_write in,reason
R_3oupryPQ2Id0nwG,0,,,1,1,3 years,1,1,2 years,1,2,1 year,3,1,2,1,2,1,1,2,2,2,1,19,2,6,North African,New leases
R_6HpLQFi32hYwwri,0,,,0,,,0,,,6,3,26,6,1,2,1,2,2,1,2,2,1,0,57,1,5,,Job
R_3RVUmRKOfEhxnS8,0,,,0,,,0,,,8,3,"2-5 years, then 25 years",8,1,2,1,2,2,1,2,2,1,0,57,2,5,,Work / school / family
R_9e27h0bFKvX6tu1,2,3,5,0,,5 years,1,5,2 years,8,3,2-8 years after each move,11,2,1,1,1,2,2,2,1,1,5,,1,1,,family relocation or personal work reasons. 
R_6x39qCNlTLnn59T,2,2,"1 year, then 8 years",0,,,0,,,2,3,"2 years, then 4 months",4,2,1,2,1,1,1,2,1,2,5,21,2,5,,"Family dynamic change, school"
R_9MlL903oW7OfRf6,1,1,9 years,0,,,1,1,1 year,1,5,2 months,3,2,2,2,1,1,1,2,1,2,4,,1,1,,Better education
R_6Kf03rxaFEysle8,0,,,0,,,3,5,2 year,2,5,2 year,5,1,2,1,2,2,1,1,1,2,3,21,1,1,,
R_6q3iZ0oywZ6mHMu,0,,,0,,,0,,,1,3,a year and a half (college),1,2,2,1,2,2,2,1,1,2,5,19,2,5,,college
R_1oXro9f8l0a2A0N,1,5,"13 years, 2 mts",0,,n/a,0,,n/a,1,1,"1 yr, 0 mts",2,2,1,1,1,1,2,1,1,2,7,20,1,1,,My mom had a new job opportunity
R_72PZ9W1HKmiXyqR,0,,,0,1,,0,,,1,2,,1,2,1,2,1,1,2,1,1,2,7,,2,5,,College
R_3TfeDABBJ1aMt5D,0,,,0,,,1,1,4,3,3,6 months,4,2,1,2,1,1,1,1,1,2,6,38,1,5,,Parents divorced 
R_6e4cS1ygNm1nzZe,0,,,0,,,1,1,6,1,5,1.5,2,2,1,2,1,2,2,1,1,2,7,20,2,1,,convenience for school
R_5CGimwyl0fNJvUZ,2,5,15 years,0,,15years,0,,15 years,1,5,1year and a half,3,2,2,2,2,1,1,2,1,2,3,20,2,1,,education resources
R_3XhxAQL89dcMEbe,1,3,"15, 0",0,,,0,,,0,,,1,1,2,1,1,1,2,1,1,2,5,21,1,5,,Parents' job opportunity
R_7FaqpIrLxdXbcZz,0,,I never moved schools,0,,,0,,,4,3,Between 3 months 3 years,4,1,1,2,2,2,1,1,2,1,2,21,2,5,,School
R_1gi34vLOqUXl4rC,0,,N/A,0,,0,1,5,7 years 3 months ,2,2,4,3,1,1,2,1,1,,1,1,2,5,26,1,2,,School
R_3hs6nkZQHKnjG1e,0,,,0,,,0,,,1,2,1+ year,1,1,2,1,2,1,1,2,2,2,1,,2,2,,I went to college
R_114DvOyOZsEgAYt,0,,,0,,,0,,,1,3,1 year,1,2,1,2,1,1,2,1,1,2,7,20,1,5,,Education
