ResponseId,moves_elem,moves_mid,moves_high,moves_adult,total_moves,coffee,dinner,pizza,books,ice cream,office,gifts,bakery,chocolate,hardware,furniture,grocery,pharmacy,total_chain,age,gender,race,race_write in,years US,license,car
R_60CNH1esr6CPvYF,0,0,0,6,6,1,2,2,2,1,2,2,1,2,1,2,2,1,1,56,1,5,,56,2,2
R_18cNc648zaZhh29,0,0,1,14,15,1,2,2,2,1,2,2,1,2,1,2,2,2,2,52,2,5,,52,2,2
R_7HhjS62GjPYc5Bj,3,1,3,3,10,2,2,2,1,1,1,2,2,1,2,1,2,2,9,22,2,5,,22,2,1
R_57bokucQ2mpgkyR,2,1,2,2,7,1,2,2,2,1,2,2,1,2,2,2,2,2,3,22,2,5,,14,2,1
R_36lM7Uhyy4wvBVo,1,0,2,2,5,1,2,1,1,1,2,2,1,1,1,2,2,2,5,,2,5,,23,2,1
R_7YGnhhd5SHWJXPG,0,0,0,2,2,2,1,1,1,2,1,1,2,1,2,1,2,2,13,23,2,5,,23,2,1
R_5Cx5hr5LaFJwQ02,0,0,3,5,8,1,1,1,2,1,2,2,2,2,2,2,1,2,5,21,1,1,,2,1,1
R_6Ia7yElKPyPoMrL,0,0,0,0,0,2,1,2,2,1,1,1,1,1,2,1,2,2,9,20,1,5,,20,2,1
R_6D6pL2hUrkovhQo,1,0,0,0,1,2,2,2,2,1,2,2,1,1,2,1,2,2,6,19,1,5,,19,2,2
R_39HJ4Qt17Zja3Jv,0,0,0,1,1,2,2,1,2,2,1,1,1,2,2,1,1,2,8,19,2,5,,19,2,2
R_7EsjjUdI4WaBu6Z,3,2,3,2,10,1,2,1,2,1,2,1,2,2,2,2,2,2,6,19,3,"3,4,5,6",Persian,19,1,2
R_1QXCBAeDulNuJcs,0,0,1,1,2,1,2,2,2,1,2,2,1,2,1,2,1,1,0,19,2,5,,19,2,1
R_5RUiXUGP6AC2hG0,1,0,0,11,12,1,2,2,2,1,2,2,1,2,2,2,2,2,3,,2,5,,49,2,2
R_1Lu4zTURPBG2ZkP,0,0,0,1,1,2,1,1,1,2,1,1,2,1,2,2,2,2,12,19,2,"1,5",,20,2,2
R_7FIIVRz6PzbevoX,0,0,0,1,1,2,2,1,1,1,1,1,2,1,2,1,2,2,11,19,2,5,,18,1,1
R_3ndEWy7MLtWQRop,1,0,0,0,1,1,1,1,1,2,1,2,1,1,2,2,2,2,9,19,2,"2,5",,19,2,2
R_5kWisH8fktVScDL,0,0,0,0,0,1,2,2,2,1,2,2,1,2,1,2,1,1,0,19,1,5,,19,2,2
R_7Je64ZsZEmhWaL7,0,0,0,1,1,2,2,2,2,1,1,2,1,2,2,2,2,2,5,19,2,5,,19,1,1
R_5JJS8jIJGNGHYbP,0,0,0,8,8,2,2,2,1,2,2,1,1,1,2,2,2,2,8,,2,5,,54,2,2
R_7RWbFpuPNKErk5y,0,0,0,6,6,2,2,2,1,2,2,1,2,1,2,1,2,2,10,36,2,7,,36,2,2
R_7IK4AiN3nUB9xAv,0,2,0,7,9,2,2,1,1,2,1,1,2,1,2,1,2,2,12,48,2,5,,20,2,2
R_5MKaoDluWTcDRU5,0,0,0,0,0,2,2,2,1,1,1,1,2,1,2,2,2,2,9,19,1,5,,19,2,1
R_1e2vFnFUv1VKvT3,0,0,0,0,0,2,2,2,2,1,2,2,1,2,2,1,2,2,5,19,2,5,,19,2,2
R_7AWpkTynY60CTAk,3,2,2,9,16,1,1,1,1,2,1,1,2,1,2,1,2,2,12,43,2,2,,40,2,2
R_5FaEqDOau8qZjZv,0,0,0,0,0,2,1,1,1,2,1,1,2,1,2,1,2,2,13,18,2,5,,18,2,2
R_1lAebXqS76BtgyX,0,0,0,0,0,1,2,2,1,1,2,1,1,1,1,,1,2,4,20,2,2,,20,1,1
R_7AESYMmxJ0st5J9,2,0,1,3,6,2,2,2,1,2,1,1,2,1,2,1,2,2,11,20,1,2,,20,2,2
R_3EaOmAMXcvT3VnR,0,0,0,1,1,1,2,2,2,1,2,2,1,1,2,2,2,1,3,20,2,5,,20,2,2
R_5VHJe9EXyL1HfLc,0,0,0,0,0,1,2,2,2,1,2,2,1,2,1,2,1,2,1,21,2,2,,21,2,1
